,dialogue_id,turn_id,speaker_role,utterance,dialogue_acts,intents
67,banking_0043,banking_0043_067,Customer,"Yeah I think so too because you know but but you know the the thing about this whole thing is this you know getting you guys on on the phone takes a lot of time and takes a lot of stress you know? So I don't know. I I think I need that account your online banking thing, and how do I go about that? How do I get it? Do I please. Please",['InformIntent'],SetUpOnlineBanking
68,banking_0044,banking_0044_001,Customer,"Hi, Bill. I'm calling because I just got my credit card stolen.",['InformIntent'],ReportLostStolenCard
69,banking_0045,banking_0045_001,Customer,"yes. My name is Dan Thomas, T H O M A S. And I need to. I need for you to look up a transaction that I do not recognize on my checking account. I believe it's associated with my debit card. And that would be my Intel bank debit card.",['InformIntent'],DisputeCharge
70,banking_0046,banking_0046_001,Customer,"Hi there. My name is Danny Burns. Can you can you tell me the balance on my account, please?",['InformIntent'],CheckAccountBalance
71,banking_0046,banking_0046_003,Customer,"nevermind. like, can you just give me a couple nearby ATM machines? Can you guys help me with that? I've been driving around all day, and I'm tired.",['InformIntent'],FindATM
72,banking_0047,banking_0047_001,Customer,"Yeah, I called earlier about closing my account, but I didn't have any of the information readily available, so I'd like to do that now.",['InformIntent'],CloseBankAccount
73,banking_0047,banking_0047_035,Customer,"hey, could you tell me what my balance is?",['InformIntent'],CheckAccountBalance
74,banking_0048,banking_0048_001,Customer,"Hi Rose, my name is Kim. I am a new customer actually and I'm looking to open up an account with you guys.",['InformIntent'],OpenBankingAccount
75,banking_0048,banking_0048_026,Customer,I did want to ask you about some some local branches. having some brain fog. where some local branches are and their the hours.,['InformIntent'],FindBranch
76,banking_0051,banking_0051_002,Customer,hi my name is Ashley. I'm just calling to find an ATM that's close to me.,['InformIntent'],FindATM
77,banking_0052,banking_0052_003,Customer,not too bad I need to open a account with your bank and get things rolling.,['InformIntent'],OpenBankingAccount
78,banking_0052,banking_0052_044,Customer,well I I did move so I have to give you my new I have to give you my my address period. it's twenty-six thirty-four.,[],UpdateStreetAddress
79,banking_0052,banking_0052_067,Customer,What's their hours?,['InformIntent'],GetBranchHours
80,banking_0053,banking_0053_001,Customer,Hi Rose. My name is Kim. I'm calling about a a stolen card or a lost card. I'm not sure.,['InformIntent'],ReportLostStolenCard
81,banking_0054,banking_0054_001,Customer,"Yes, ma'am. I just moved and I need to find out some information on where your branches are in my area now. so I can you know get down and I need to do some things with you guys. My name is Rodney Hatfield.",['InformIntent'],FindBranch
82,banking_0054,banking_0054_034,Customer,"Oh gosh, I I need to get some of that trans. Can I can I transfer about seven thousand of that from my checking into my savings ?",['InformIntent'],InternalFundsTransfer
83,banking_0054,banking_0054_036,Customer,"I do have your online banking, but since I moved I don't have my internet set up yet at the house. So soon as I do I'll be able to access that again. And it shouldn't be a problem. Now now at your at your ATMs, do you have the the where you can put cash in. Can you deposit cash through the machine like some some of them used to do when I lived in Saint Saint Albans?",['InformIntent'],AskAboutCashDeposits
84,banking_0055,banking_0055_005,Customer,I would like to open up a new checking account.,['InformIntent'],OpenBankingAccount
85,banking_0055,banking_0055_098,Customer,"yes, how much do I have in that account?",['InformIntent'],CheckAccountBalance
86,banking_0056,banking_0056_005,Customer,"I imagine. well Rose, I need some help. I am looking at my statement, I just received it in the mail and I see a charge on here that I don't recognize. the date of the charge Oh, I'm sorry. You probably need some information to pull up my account first. I'll let you go through all all of that.",['InformIntent'],DisputeCharge
87,banking_0056,banking_0056_045,Customer,yes. I actually do want to open a open up a savings account with you today.,['InformIntent'],OpenBankingAccount
88,banking_0057,banking_0057_001,Customer,"Hi, Susan. Hey I need to make a transfer to a a trade show that I'm sponsoring.",['InformIntent'],InternalFundsTransfer
89,banking_0058,banking_0058_001,Customer,"Hi, I had a few things I wanted to do first I just wanted to check my balance on my checking account.",['InformIntent'],CheckAccountBalance
90,banking_0058,banking_0058_018,Customer,"OK, well I had there was a transaction showing up on my bank statement it's for a place called Style-Depot. And I I've never been to Style Depot and I'm I've never even heard of it and I've never ordered from there.",[],DisputeCharge
91,banking_0058,banking_0058_037,Customer,can I go ahead and check the the balance in my savings account?,['InformIntent'],CheckAccountBalance
92,banking_0059,banking_0059_001,Customer,Yes ma'am. My name is David Fidler. I'm trying to take and see about possibly closing one of my accounts.,['InformIntent'],CloseBankAccount
93,banking_0059,banking_0059_027,Customer,well actually if we can go ahead and update my email address cuz I just switched over to a new internet provider. that way I can make sure I stay up to date.,['InformIntent'],UpdateEmail
94,banking_0060,banking_0060_001,Customer,Hi Susan. this is Brian. I'm trying to find an an ATM near me.,['InformIntent'],FindATM
95,banking_0061,banking_0061_001,Customer,"Is there anyway to find out some of the branch locations town of I forgot where we were going. Oh, we're going to Colorado Springs that's",['InformIntent'],FindBranch
96,banking_0061,banking_0061_040,Customer,Check my balance in my savings account and my checking account.,['InformIntent'],CheckAccountBalance
97,banking_0061,banking_0061_058,Customer,no I need a branch location though.,[],FindBranch
98,banking_0061,banking_0061_068,Customer,And the lobby hours?,['InformIntent'],GetBranchHours
99,banking_0062,banking_0062_001,Customer,Hey Melanie. How you doing? I I I'm in big big trouble. I'm actually in my car outside work on my lunch break and I need to make a transfer from one of my accounts to another coz I have a bill that's about to get cashed and the money is not there and I I don't want bounced fees please.,['InformIntent'],InternalFundsTransfer
100,banking_0063,banking_0063_001,Customer,"Hi Anne Marie. My name is Brian, I'm calling because I want to move money from my savings account to my checking. Is that a service that Intellibank provides over the phone?",['InformIntent'],InternalFundsTransfer
101,banking_0064,banking_0064_003,Customer,"Well, I'm trying to find an ATM that's close to me.",['InformIntent'],FindATM
102,banking_0065,banking_0065_001,Customer,yes I can't find any stores around here that would give me money off my credit card. Do you know any places that I can go to that would get me money off this card. you know what never mind. Just give me some addresses to some local branches I'll just find one myself.,['InformIntent'],FindBranch
103,banking_0066,banking_0066_003,Customer,Thank God. I'm I'm sorry but I've I'm gonna have to close my account with with your bank. just I have reasons I need to do it.,['InformIntent'],CloseBankAccount
104,banking_0066,banking_0066_026,Customer,I need to close that account and have it have it all transferred to another bank where I'm moving to with my partner.,['InformIntent'],ExternalWireTransfer
105,banking_0066,banking_0066_028,Customer,Could I have my balance?,['InformIntent'],CheckAccountBalance
106,banking_0067,banking_0067_001,Customer,Yes my name is Mack Wilson and I Yeah I need to update my email. I almost forgot why I called. It's silly but I got distracted my dogs are barking but I need to update my email on my accounts.,['InformIntent'],UpdateEmail
107,banking_0069,banking_0069_020,Customer,"I have here what I think the balance should be, but I was wondering if you could, you know, tell me what the balance is and then, like I said, I'd like to transfer that to the checking.",['InformIntent'],CheckAccountBalance
108,banking_0070,banking_0070_003,Customer,Oh I need to check the available balance in my account.,['InformIntent'],CheckAccountBalance
109,banking_0070,banking_0070_017,Customer,yeah. I need to transfer some money to my grandmother.,['InformIntent'],ExternalWireTransfer
110,banking_0071,banking_0071_007,Customer,I'd like to open a checking account please.,['InformIntent'],OpenBankingAccount
111,banking_0071,banking_0071_031,Customer,I'd like to transfer money from my bank across town.,['InformIntent'],ExternalWireTransfer
112,banking_0072,banking_0072_021,Customer,"OK, well I was calling today to check my account balance please.",['InformIntent'],CheckAccountBalance
113,banking_0072,banking_0072_045,Customer,I I had wanted to actually close my account. close my or excuse me my savings account with you as well and I had both of those account numbers written on the same paper and I can't find either.,['InformIntent'],CloseBankAccount
114,banking_0073,banking_0073_001,Customer,yes. I'm I'm looking to buy some tires and I need to know if I've got enough money.,['InformIntent'],CheckAccountBalance
115,banking_0073,banking_0073_027,Customer,lemme ask you this my checking account. Am I getting any interest off my checking account?,['InformIntent'],CheckAccountInterestRate
116,banking_0073,banking_0073_029,Customer,OK. There's an. Do I have to have a minimum balance in my checking account to get that?,['InformIntent'],GetAccountInfo
117,banking_0074,banking_0074_001,Customer,"yes, hello. I'm calling to I have a I have multiple accounts in this bank but I'm calling about my credit card today. I have a charge that I need to dispute.",['InformIntent'],DisputeCharge
118,banking_0075,banking_0075_001,Customer,Yes. I need to speak to someone about a credit card purchase that I did not make.,['InformIntent'],DisputeCharge
119,banking_0077,banking_0077_024,Customer,Can we move all the balance over to another account I have on on file? Before it's placed on hold. I mean I still need to have some money available to use since the other account's not gonna have the money. accessible at least I want it somewhere where I can use it.,['InformIntent'],InternalFundsTransfer
120,banking_0078,banking_0078_001,Customer,"Yes, I need to update my phone number on my account, please.",['InformIntent'],UpdatePhoneNumber
121,banking_0079,banking_0079_001,Customer,"Myra, I'm hoping you can help me find out a few things. I just can't figure out these darn statements I'm getting nowadays. They're so complicated. Like I'm trying to find the balance and no luck.",[],CheckAccountBalance
122,banking_0079,banking_0079_019,Customer,Huh let me see I've got this written down somewhere. Hold on. I believe it's five six eight two two. Unless my wife changed it. But let me double check that last number. OK. I guess it's five six eight two two. I don't see anything else written down here. Oh what are are your customer service hours on the phone by the way?,['InformIntent'],GetBranchHours
123,banking_0081,banking_0081_003,Customer,I'm doing all right. I'm calling about. I wanna make a dispute on a charge on my card.,['InformIntent'],DisputeCharge
124,banking_0081,banking_0081_029,Customer,when am I gonna receive the new card?,['InformIntent'],AskAboutCardArrival
125,banking_0081,banking_0081_031,Customer,Do I need to be home? And where where are you sending it? do you have?,['InformIntent'],GetAccountInfo
126,banking_0081,banking_0081_040,Customer,"OK. And I also wanna do a quick transfer between my two accounts, please.",['InformIntent'],InternalFundsTransfer
127,banking_0082,banking_0082_004,Customer,"OK, so I'm calling as regarding a dispute on my account. On my credit card, sorry. So I'm hoping you can help me with that.",[],DisputeCharge
128,banking_0082,banking_0082_078,Customer,"OK. Another, please. Can you help me pull up my account? I want to check for my balance.",['InformIntent'],CheckAccountBalance
129,banking_0083,banking_0083_001,Customer,"yes, I need to make a wire transfer.",['InformIntent'],ExternalWireTransfer
130,banking_0083,banking_0083_013,Customer,That is correct. can you tell me how soon that money will be transferred and if there is there a fee associated with it?,['InformIntent'],AskAboutTransferTime
131,banking_0084,banking_0084_001,Customer,Oh yes. Good afternoon. My name is Christina Johnson and I was interested in doing a a wire transfer.,['InformIntent'],ExternalWireTransfer
132,banking_0084,banking_0084_041,Customer,yes. I did a few other questions. I'm also wondering can you as far as when I say local time just like what time your businesses are open. Like the local. The local nearest branch from my home.,['InformIntent'],GetBranchHours
133,banking_0085,banking_0085_027,Customer,"Things have been really really difficult and, you know, we've been we've been trying to hold onto this savings account, but you know, it's becoming more expensive cuz we're getting charged when our balance is below, you know, the hundred dollars so, we we just can't afford it right now. So we have to cancel it and I'm hoping. I think there's like fifty-two dollars or something like that in there and I'd like to transfer that over to to my checking as well.",['InformIntent'],InternalFundsTransfer
134,banking_0086,banking_0086_001,Customer,Oh yeah hi good evening. my name is Sarah Jones and I was looking to do a wire transfer today.,['InformIntent'],ExternalWireTransfer
135,banking_0086,banking_0086_034,Customer,yeah I actually I was looking to see how I can figure out what time the local branch near my home. What are their hours? Can you provide me with that information?,['InformIntent'],GetBranchHours
136,banking_0087,banking_0087_025,Customer,we gotta change my address.,['InformIntent'],UpdateStreetAddress
137,banking_0088,banking_0088_001,Customer,yeah. My wife she's been writing checks like crazy. And. And. I just need to to find out how we stand with our checking account.,['InformIntent'],CheckAccountBalance
138,banking_0089,banking_0089_016,Customer,"Well, I want to transfer money from my savings to my checking.",['InformIntent'],InternalFundsTransfer
139,banking_0089,banking_0089_060,Customer,Much is. Is. Is left in that savings?,['InformIntent'],CheckAccountBalance
140,banking_0090,banking_0090_003,Customer,"Well, I was doing all right until I got my credit card statement in the mail and I was looking and on my transactions I I'm seeing a transaction on the twenty-ninth of September from Apple for the amount of two thousand four hundred ninety-nine dollars and ninety-nine cents and I did not make that. So I've looked around for my credit card. I can't find it anywhere. I don't I guess maybe the last time I used it, I might have left it on the counter or dropped it somewhere. I don't know what happened.",['InformIntent'],DisputeCharge
141,banking_0092,banking_0092_001,Customer,"Debbie. Hi, Debbie. I have a I'm having a problem here. I was I was at the bar last night and I was doing some dancing with some with some girls, you know dancing girls, and I'm not sure if my collar was lost or stolen but I don't have my card anymore, my wallet, and my shoes fell off.",['InformIntent'],ReportLostStolenCard
142,banking_0093,banking_0093_021,Customer,is there a way you can check my savings account,['InformIntent'],CheckAccountBalance
143,banking_0093,banking_0093_026,Customer,I had an issue with my username I was just wondering could you just verify my username for me.,['InformIntent'],GetAccountInfo
144,banking_0094,banking_0094_001,Customer,"Hi Alexis, I need help with changing my address.",['InformIntent'],UpdateStreetAddress
145,banking_0095,banking_0095_003,Customer,"Oh! I'm doing just wonderful. We actually just moved into a new house on the outskirts of town and we're coming from a little tiny apartment. So Oh my gosh! I am so thrilled we have a huge backyard . I know my kids and our dogs are absolutely thrilled about that. But at least and I am so sorry I'm just babbling on and on. The actual reason that I'm calling is, I'm trying to find a branch near me . The apartment that we were living in, we had a branch that was right around the corner, all I had to do if I need to go to the bank was walk out the door and there we were.",['InformIntent'],FindBranch
146,banking_0096,banking_0096_001,Customer,"yes, I need to check my checking account balance and also my savings account balance.",['InformIntent'],CheckAccountBalance
147,banking_0097,banking_0097_001,Customer,"Hey Gina, how ya doing? I'm having a little bit of trouble trying to transfer money from accounts, and I was hoping you could help me.",['InformIntent'],InternalFundsTransfer
148,banking_0098,banking_0098_001,Customer,Mm- yes I need some help. I'm trying to send some money to my friend. How would I do that?,['InformIntent'],InternalFundsTransfer
149,banking_0099,banking_0099_014,Customer,"Yeah, yeah. Actually, I don't want my savings account anymore. I I'm trying to get the money out of it. Yeah, I need help with that.",[],CloseBankAccount
150,banking_0100,banking_0100_001,Customer,yes. I got a statement in the mail today and there's a transaction I just don't recognize.,['InformIntent'],DisputeCharge
151,banking_0101,banking_0101_001,Customer,my name is Kyle Goodwin. G O O D W I N. And I need to find an ATM located close to my house.,['InformIntent'],FindATM
152,banking_0101,banking_0101_007,Customer,OK. I. What. What. What's the daily draw. Withdrawal limit on that ATM card?,['InformIntent'],GetWithdrawalLimit
153,banking_0101,banking_0101_009,Customer,All right. I. I need. I need to do an a. An account balance on my checking.,['InformIntent'],CheckAccountBalance
154,banking_0102,banking_0102_001,Customer,"yes I'm looking at my statement, and looks like I've got a charge on my statement that I do not recognize.",['InformIntent'],DisputeCharge
155,banking_0104,banking_0104_001,Customer,Yay Shannon this is Robert Johnson. Anyway I'm out and about on the other side of town and I'm picking up groceries and stuff and is there an ATM nearby?,['InformIntent'],FindATM
156,banking_0104,banking_0104_011,Customer,Oh OK. Hey quick question. What are your bank hours?,['InformIntent'],GetBranchHours
157,banking_0104,banking_0104_013,Customer,"oh OK. hey, can I check my balance real quick?",['InformIntent'],CheckAccountBalance
158,banking_0105,banking_0105_042,Customer,That ain't gonna be enough. Can I open a credit card?,['InformIntent'],OpenCreditCard
159,banking_0106,banking_0106_001,Customer,"Hi Rose, my name is Kim. I am calling back I called last week to to try to do this and was put on hold for some time. So I I'm calling back to try to close my account, please.",['InformIntent'],CloseBankAccount
160,banking_0107,banking_0107_003,Customer,Oh I was wondering where your nearest branch location is?,['InformIntent'],FindBranch
161,banking_0107,banking_0107_007,Customer,Hey I got a quick question. Are you guys even open because the google results are showing that but a lot of business in this area are closed because of COVID.,['InformIntent'],GetBranchHours
162,banking_0107,banking_0107_009,Customer,yeah actually I was thinking of opening up a savings account.,['InformIntent'],OpenBankingAccount
163,banking_0107,banking_0107_031,Customer,Yeah. I can use my PayPal card.,[],ExternalWireTransfer
164,banking_0108,banking_0108_001,Customer,"Hi, Daisy. I'm George and I wanna close my account.",['InformIntent'],CloseBankAccount
165,banking_0109,banking_0109_033,Customer,Thank you. I also need to make a wire transferral.,['InformIntent'],ExternalWireTransfer
166,banking_0110,banking_0110_001,Customer,I need to check the balance on my account.,['InformIntent'],CheckAccountBalance
167,banking_0110,banking_0110_013,Customer,Well hold on. What what was the last transaction? That doesn't sound right because I checked it the other day and it was more than that. What was the last transaction?,['InformIntent'],CheckTransactionHistory
168,banking_0110,banking_0110_015,Customer,"Adam and Eves! I have never even been to that kind of store. What. That OK. I'm the only one with this card and I did not go to that store and I know my husband does not have my card and he did not go to that store so I know that store is not. Nope nope. No. That is not my purchase I. No, we're recording right now. How do I get rid of this? I want my money back now.",['InformIntent'],DisputeCharge
169,banking_0111,banking_0111_001,Customer,"Hi Jake, my name is Darcy Davis I would like to find a branch near me, can you help me with that?",['InformIntent'],FindBranch
170,banking_0113,banking_0113_001,Customer,"Hey, Izumi. My names Edward Elric. just calling in cuz I have a big problem today. I was at the I was at a couple of stores with my wife buying supplies for a house and I think I lost my card. I can't remember when I lost it since we were at one of the stores. My wife actually used one of her cards to get the store points that they offer. don't know if it was before then or after. I think it was after because we went to go eat somewhere there. just calling in to get some help.",['InformIntent'],ReportLostStolenCard
171,banking_0114,banking_0114_003,Customer,I'm doing pretty well actually we finally just got done with our move so I guess I need to update my street address with you now. we moved all the way from Washington state down to Jacksonville Florida we were getting pretty tired of the cold and the rain and hoping for some beautiful sunshine down here .,['InformIntent'],UpdateStreetAddress
172,banking_0115,banking_0115_003,Customer,oh I was looking for I need stop in at one of your local branches.,['InformIntent'],FindBranch
173,banking_0115,banking_0115_008,Customer,"OK that's not bad because I'll be passing through that way anyways and that's actually a lot better because I didn't think I saw anything out because I mean this fair is really out there. I had to go eight miles down a dirt road. I mean it's just really out in the country. yeah, no, that would be fi~. Oh I need to check my balance.",['InformIntent'],CheckAccountBalance
174,banking_0115,banking_0115_021,Customer,"Oh, OK. Yeah yeah, that's fine. That that'll work out great. And what were your hours?",['InformIntent'],GetBranchHours
175,banking_0116,banking_0116_003,Customer,Oh I'd like to report a lost or stolen credit card.,['InformIntent'],ReportLostStolenCard
176,banking_0116,banking_0116_020,Customer,Yeah come to think of it since I have to come in anyways I was thinking about setting up a savings account.,['InformIntent'],OpenBankingAccount
177,banking_0116,banking_0116_034,Customer,Oh was that mbye bye. what address do you have on file?,['InformIntent'],GetAccountInfo
178,banking_0117,banking_0117_001,Customer,"Hello, I'd like to open a bank account please.",['InformIntent'],OpenBankingAccount
179,banking_0117,banking_0117_027,Customer,"Yes I would please. I would like to transfer one thousand dollars from my savings account, into this new checking account I'm opening today with you.",['InformIntent'],InternalFundsTransfer
180,banking_0117,banking_0117_031,Customer,"Yes I would. I would like a small amount, just fifty cheques.",['InformIntent'],OrderChecks
